source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
29,El HaNe’eman,האל הנאמן,literal-heading,original,האל הנאמן,paper heading,182,832,132,594,11,4,6,9,no,no,,,,
29,El HaNe’eman,האל הנאמן,literal-heading,remove_ha_first_word,אל הנאמן,mechanical removal of definite article from first word,177,827,129,58B,6,8,12,6,no,no,,mg-collapse-8; std-base12-collapse-12,mg-collapse-8; std-base12-collapse-12,
30,El HaGadol,האל הגדול,literal-heading,original,האל הגדול,paper heading,84,84,70,70,12,12,7,7,no,no,,mg-collapse-12; std-collapse-12,,
30,El HaGadol,האל הגדול,literal-heading,remove_ha_first_word,אל הגדול,mechanical removal of definite article from first word,79,79,67,67,7,7,4,4,no,no,,,,mg-collapse-12; std-collapse-12
32,El HaKavod,אל הכבוד,literal-heading,original,אל הכבוד,paper heading,68,68,58,58,5,5,4,4,no,no,,,,
32,El HaKavod,אל הכבוד,literal-heading,remove_initial_el,הכבוד,mechanical removal of initial El,37,37,31,31,10,10,4,4,no,no,,,,
32,El HaKavod,אל הכבוד,literal-heading,remove_ha_after_el,אל כבוד,mechanical removal of definite article after El,63,63,53,53,9,9,8,8,no,no,,mg-base12-collapse-8; mg-constant-63:SAG; std-base12-collapse-8; std-constant-63:SAG,mg-base12-collapse-8; mg-constant-63:SAG; std-base12-collapse-8; std-constant-63:SAG,
35,Elohei Avraham,אלהי אברהם,literal-heading,original,אלהי אברהם,paper heading,294,854,206,5B2,6,8,8,9,no,no,,mg-collapse-8; std-base12-collapse-8,,
35,Elohei Avraham,אלהי אברהם,literal-heading,add_ha_first_word,האלהי אברהם,mechanical addition of definite article to first word,299,859,20B,5B7,2,4,4,5,no,no,,,,mg-collapse-8; std-base12-collapse-8
36,Elohei Yitzchak,אלהי יצחק,literal-heading,original,אלהי יצחק,paper heading,254,254,192,192,11,11,12,12,no,no,,mg-base12-collapse-12; std-base12-collapse-12,,
36,Elohei Yitzchak,אלהי יצחק,literal-heading,add_ha_first_word,האלהי יצחק,mechanical addition of definite article to first word,259,259,197,197,7,7,8,8,no,no,,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-collapse-12; std-base12-collapse-12
37,Elohei Yaakov,אלהי יעקב,literal-heading,original,אלהי יעקב,paper heading,228,228,170,170,12,12,8,8,no,no,,mg-base12-collapse-8; mg-collapse-12; std-base12-collapse-8; std-collapse-12,,
37,Elohei Yaakov,אלהי יעקב,literal-heading,add_ha_first_word,האלהי יעקב,mechanical addition of definite article to first word,233,233,175,175,8,8,4,4,no,no,,mg-collapse-8; std-collapse-8,mg-collapse-8; std-collapse-8,mg-base12-collapse-8; mg-collapse-12; std-base12-collapse-8; std-collapse-12
38,The 42-Letter Name,שם בן מ״ב,formula-not-in-heading,original,שם בן מ״ב,paper heading,434,1644,302,B50,11,6,5,7,no,no,abbreviation-or-name-marker:final-normalization-skipped,std-base10-palindrome,,
39,The 72Letter Name,"שם ע""ב",canonical-constant-not-heading,original,"שם ע""ב",paper heading,412,972,2A4,690,7,9,7,6,no,no,abbreviation-or-name-marker:final-normalization-skipped,,,
40,AB,"ע""ב",expansion-label-not-name,original,"ע""ב",paper heading,72,72,60,60,9,9,6,6,no,no,abbreviation-or-name-marker:final-normalization-skipped,mg-constant-72:seventy-two; std-constant-72:seventy-two,,
41,SAG,"ס""ג",expansion-label-not-name,original,"ס""ג",paper heading,63,63,53,53,9,9,8,8,no,no,abbreviation-or-name-marker:final-normalization-skipped,mg-base12-collapse-8; mg-constant-63:SAG; std-base12-collapse-8; std-constant-63:SAG,,
42,MAH,"מ""ה",expansion-label-not-name,original,"מ""ה",paper heading,45,45,39,39,9,9,12,12,no,no,abbreviation-or-name-marker:final-normalization-skipped,mg-base12-collapse-12; mg-constant-45:MAH; std-base12-collapse-12; std-constant-45:MAH,,
43,BEN,"ב""ן",expansion-label-not-name,original,"ב""ן",paper heading,52,702,44,4A6,7,9,8,2,yes,no,abbreviation-or-name-marker:final-normalization-skipped,std-base12-collapse-8; std-base12-palindrome; std-constant-52:BEN-standard,,
